id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;num_compressor;start_year;Capacity_GWh_h;diameter_mm
INET_PL_421;Mira_CampagnaLupia;['INET_PL_421'];['INET_N_750', 'INET_N_753'];[45.353355, 45.426979];[12.097296, 12.131102];['IT', 'IT'];0.0;45.390167000000005;8.604426501958;12.114199;70.0;0.0;1983;8.375;762.0
INET_PL_423;MoggioUdinesse_Pontebba_1;['INET_PL_423'];['INET_N_780', 'INET_N_775'];[46.506812, 46.398538];[13.304698, 13.186671];['IT', 'IT'];0.0;46.452675;15.061438193172117;13.2456845;58.0;0.0;1983;11.7516;914.4
INET_PL_425;MoggioUdinesse_Pontebba_2;['INET_PL_425'];['INET_N_780', 'INET_N_775'];[46.506812, 46.398538];[13.304698, 13.186671];['IT', 'IT'];0.0;46.452675;15.061438193172117;13.2456845;70.0;0.0;1983;17.060199999999995;1066.8
INET_PL_427;MoggioUdinesse_Pontebba_3;['INET_PL_427'];['INET_N_780', 'INET_N_775'];[46.506812, 46.398538];[13.304698, 13.186671];['IT', 'IT'];0.0;46.452675;15.061438193172117;13.2456845;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_429;Moliterno_Lauria_1;['INET_PL_429'];['INET_N_674', 'INET_N_676'];[40.050224, 40.242959];[15.840378, 15.865276];['IT', 'IT'];0.0;40.1465915;21.542147702915045;15.852827;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_431;Moliterno_Lauria_2;['INET_PL_431'];['INET_N_674', 'INET_N_676'];[40.050224, 40.242959];[15.840378, 15.865276];['IT', 'IT'];0.0;40.1465915;21.542147702915045;15.852827;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_433;Moliterno_MontesanoSullaMarcellana_1;['INET_PL_433'];['INET_N_678', 'INET_N_676'];[40.281815, 40.242959];[15.667287, 15.865276];['IT', 'IT'];0.0;40.262387000000004;17.351905126809335;15.7662815;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_435;Moliterno_MontesanoSullaMarcellana_2;['INET_PL_435'];['INET_N_678', 'INET_N_676'];[40.281815, 40.242959];[15.667287, 15.865276];['IT', 'IT'];0.0;40.262387000000004;17.351905126809335;15.7662815;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_437;Monaco;['INET_PL_437'];['INET_N_137', 'INET_N_135'];[48.223, 48.17];[11.798, 12.826];['DE', 'DE'];0.0;48.1965;76.44643663770924;12.312000000000001;75.0;0.0;1983;14.733333333333334;
INET_PL_439;Montalbano_GaglianoSparacollo_1;['INET_PL_439'];['INET_N_662', 'INET_N_664'];[37.684813, 38.022844];[14.652717, 15.013029];['IT', 'IT'];0.0;37.8538285;49.143129048263944;14.832873;75.0;0.0;1983;22.36183333333333;1219.0
